file, solution, objective
doe2vec_correlation_p20_seed50_t600_redumis.out, [ ... ], 801
doe2vec_correlation_p50_seed40_t600_redumis.out, [ ... ], 1462
doe2vec_correlation_p50_seed50_t600_redumis.out, [ ... ], 1462
doe2vec_correlation_p80_seed20_t600_redumis.out, [ ... ], 2536
doe2vec_correlation_p80_seed30_t600_redumis.out, [ ... ], 2538
doe2vec_correlation_p80_seed40_t600_redumis.out, [ ... ], 2538
doe2vec_correlation_p80_seed50_t600_redumis.out, [ ... ], 2538
doe2vec_correlation_p90_seed20_t600_redumis.out, [ ... ], 3302
doe2vec_correlation_p90_seed30_t600_redumis.out, [ ... ], 3302
doe2vec_correlation_p90_seed40_t600_redumis.out, [ ... ], 3302
doe2vec_correlation_p90_seed50_t600_redumis.out, [ ... ], 3302
doe2vec_correlation_p95_seed20_t600_redumis.out, [ ... ], 3989
doe2vec_correlation_p95_seed30_t600_redumis.out, [ ... ], 3989
doe2vec_correlation_p95_seed40_t600_redumis.out, [ ... ], 3989
doe2vec_correlation_p95_seed50_t600_redumis.out, [ ... ], 3989
doe2vec_cosine_p10_seed20_t600_redumis.out, [ ... ], 558
doe2vec_cosine_p10_seed30_t600_redumis.out, [ ... ], 558
doe2vec_cosine_p10_seed40_t600_redumis.out, [ ... ], 558
doe2vec_cosine_p10_seed50_t600_redumis.out, [ ... ], 558
doe2vec_cosine_p20_seed20_t600_redumis.out, [ ... ], 792
doe2vec_cosine_p20_seed40_t600_redumis.out, [ ... ], 792
doe2vec_cosine_p50_seed30_t600_redumis.out, [ ... ], 1450
doe2vec_cosine_p50_seed40_t600_redumis.out, [ ... ], 1450
doe2vec_cosine_p80_seed20_t600_redumis.out, [ ... ], 2510
doe2vec_cosine_p80_seed30_t600_redumis.out, [ ... ], 2519
doe2vec_cosine_p80_seed40_t600_redumis.out, [ ... ], 2519
doe2vec_cosine_p80_seed50_t600_redumis.out, [ ... ], 2519
doe2vec_cosine_p90_seed20_t600_redumis.out, [ ... ], 3246
doe2vec_cosine_p90_seed30_t600_redumis.out, [ ... ], 3246
doe2vec_cosine_p90_seed40_t600_redumis.out, [ ... ], 3246
