file seed objective
ela_correlation_p90 50 5
doe2vec_cosine_p95 30 227
doe2vec_correlation_p90 50 42
deepela_large_r1_correlation_p90 20 6
deepela_large_r1_seuclidean_p50 40 1
transoptas_5pso_correlation_p95 10 10
deepela_large_r1_cosine_p90 20 5
deepela_large_r1_seuclidean_p20 50 1
deepela_large_r1_seuclidean_p90 10 1
tinytla_seuclidean_p10 30 1
deepela_large_r1_seuclidean_p10 40 1
transoptas_5pso_correlation_p10 20 1
doe2vec_seuclidean_p95 40 2
ela_correlation_p80 10 2
ela_cosine_p95 10 6
tinytla_cosine_p95 50 50
doe2vec_correlation_p20 50 2
ela_cosine_p95 20 6
doe2vec_correlation_p80 10 10
ela_cosine_p10 20 1
ela_cosine_p10 50 1
deepela_large_r1_seuclidean_p50 50 1
ela_correlation_p10 30 1
doe2vec_seuclidean_p50 50 2
transoptas_5pso_cosine_p10 20 1
ela_correlation_p95 20 6
deepela_large_r1_cosine_p80 30 2
doe2vec_correlation_p80 20 10
tinytla_seuclidean_p20 50 1
deepela_large_r1_correlation_p95 40 61
doe2vec_correlation_p10 30 2
doe2vec_seuclidean_p10 10 2
deepela_large_r1_seuclidean_p50 10 1
doe2vec_correlation_p95 30 234
ela_cosine_p80 40 2
deepela_large_r1_cosine_p90 40 5
transoptas_5pso_correlation_p95 40 10
deepela_large_r1_cosine_p20 20 1
deepela_large_r1_seuclidean_p80 50 1
deepela_large_r1_seuclidean_p95 40 1
tinytla_seuclidean_p50 20 1
tinytla_correlation_p10 20 1
deepela_large_r1_seuclidean_p80 10 1
doe2vec_cosine_p80 30 10
doe2vec_correlation_p95 20 234
deepela_large_r1_cosine_p90 30 5
doe2vec_cosine_p90 30 41
doe2vec_cosine_p80 50 10
ela_correlation_p50 50 1
doe2vec_correlation_p90 40 42
doe2vec_seuclidean_p80 30 2
ela_cosine_p90 30 5
tinytla_cosine_p10 10 1
deepela_large_r1_correlation_p10 20 1
doe2vec_seuclidean_p90 50 2
deepela_large_r1_seuclidean_p50 30 1
transoptas_5pso_cosine_p95 30 11
